"","V1","V2","V3","V4","V5","V6"
".id","mfit","mfit","mfit","mfit","mfit","mfit"
"loglik_null","-475.8711","-475.8711","-475.8711","-475.8711","-475.8711","-475.8711"
"loglik_model","-475.8711","-473.8298","-465.4059","-461.3223","-406.6713","-389.5808"
"m_deviance","951.7422","947.6597","930.8118","922.6446","813.3426","779.1616"
"lr_ratio","  0.000000","  4.082548"," 20.930450"," 29.097627","138.399604","172.580570"
"lr_pval","1.0000000000000000000000000000000000","0.0433282796258080207807417139065365","0.0000285108705068237831695490691608","0.0000221870877496637257668583853576","0.0000000000000000000000000003915691","0.0000000000000000000000000008631862"
"mcfadden","0.000000000","0.004289552","0.021991722","0.030573013","0.145417113","0.181331214"
"dev_df","686","685","684","681","681","669"
"adj_mcfadden","-0.00210140938"," 0.00008673336"," 0.01568749412"," 0.01796455697"," 0.13280865694"," 0.14350584538"
"m_aic","953.7422","951.6597","936.8118","934.6446","825.3426","815.1616"
"cox_snell","0.000000000","0.005924951","0.030007024","0.041470198","0.182459657","0.222140203"
"m_bic","958.2745","960.7243","950.4088","961.8386","852.5366","896.7437"
"mckelvey","0.000000000","0.007201267","0.036566189","0.051367987","0.232471050","0.292665718"
"lr_df"," 0"," 1"," 2"," 5"," 5","17"
"effron","-0.0000000000000002220446"," 0.0059367445119037354218"," 0.0302469533207050389478"," 0.0416555212038068889413"," 0.1916258074575308834042"," 0.2306067351956684330361"
"nagelkerke","0.000000000","0.007902398","0.040021838","0.055310835","0.243355385","0.296279274"
"count_r2","0.5152838","0.5385735","0.5764192","0.5764192","0.6826783","0.7045124"
"count_adj","0.00000000","0.04804805","0.12612613","0.12612613","0.34534535","0.39039039"
